ID,X,Y,Width,Height,Appearance Time (ms)
0,156,70,15,27,0.33366666666666667
0,154,56,18,47,0.3670333333333334
1,154,98,14,27,0.46713333333333334
1,156,112,11,20,0.5005000000000001
1,154,113,19,29,0.5338666666666667
1,153,122,18,29,0.5672333333333334
1,156,140,15,19,0.6006
1,150,121,21,47,0.6339666666666667
1,148,130,22,47,0.6673333333333333
1,153,162,18,24,0.7007000000000001
2,149,132,18,33,0.7007000000000001
1,150,148,21,40,0.7340666666666668
1,147,154,24,53,0.7674333333333334
1,145,164,26,53,0.8008000000000001
1,146,168,25,61,0.8341666666666667
1,144,178,28,64,0.8675333333333334
1,144,188,27,65,0.9009000000000001
1,141,199,30,67,0.9342666666666667
1,142,210,29,69,0.9676333333333333
1,141,222,30,69,1.0010000000000001
1,140,234,30,70,1.0343666666666667
1,138,247,32,74,1.0677333333333334
1,138,260,31,77,1.1011
1,136,275,32,79,1.1344666666666667
1,135,290,33,81,1.1678333333333333
1,133,304,34,76,1.2012
1,132,322,33,58,1.2345666666666668
1,130,340,30,40,1.2679333333333334
1,128,358,31,22,1.3013000000000001
3,198,9,18,18,1.7017
3,198,11,18,19,1.7350666666666668
3,198,14,19,20,1.7684333333333335
3,199,15,18,22,1.8018000000000003
3,199,20,18,20,1.8351666666666668
3,199,24,18,19,1.8685333333333334
3,199,9,20,38,1.9019000000000001
3,198,30,21,20,1.9352666666666667
3,199,16,19,38,1.9686333333333335
3,199,19,21,38,2.0020000000000002
3,199,22,20,39,2.0353666666666665
3,197,43,23,21,2.0687333333333333
3,199,28,21,40,2.1021
3,199,32,22,40,2.135466666666667
3,199,54,22,21,2.1688333333333336
3,205,34,14,22,2.1688333333333336
3,200,37,21,43,2.2022
3,198,42,24,42,2.2355666666666667
3,198,44,24,44,2.2689333333333335
3,199,49,24,43,2.3023000000000002
3,199,52,24,44,2.3356666666666666
3,199,57,24,44,2.3690333333333333
3,198,61,25,44,2.4024
3,199,65,25,45,2.435766666666667
3,200,67,24,47,2.4691333333333336
3,200,73,24,46,2.5025
3,200,77,24,47,2.5358666666666667
4,152,16,14,32,2.5358666666666667
3,200,82,25,47,2.5692333333333335
4,152,20,15,21,2.5692333333333335
3,200,86,26,48,2.6026000000000002
4,151,20,16,38,2.6026000000000002
3,199,91,29,50,2.635966666666667
4,150,31,17,31,2.635966666666667
3,200,95,28,52,2.6693333333333333
4,150,29,15,38,2.6693333333333333
3,200,100,27,52,2.7027
4,148,35,18,37,2.7027
3,200,105,28,54,2.736066666666667
4,147,39,19,39,2.736066666666667
3,201,109,27,56,2.7694333333333336
4,146,45,18,38,2.7694333333333336
3,200,115,28,55,2.8028000000000004
4,146,51,18,38,2.8028000000000004
3,201,120,27,57,2.8361666666666667
4,146,56,18,39,2.8361666666666667
3,201,125,29,60,2.8695333333333335
4,144,61,16,40,2.8695333333333335
3,200,131,31,62,2.9029000000000003
4,144,65,16,42,2.9029000000000003
3,200,135,33,61,2.936266666666667
4,143,71,17,42,2.936266666666667
3,200,140,34,62,2.9696333333333333
4,141,78,19,42,2.9696333333333333
3,200,148,34,62,3.003
4,141,84,19,43,3.003
3,201,154,38,64,3.036366666666667
4,141,91,18,45,3.036366666666667
3,200,160,35,64,3.0697333333333336
4,139,96,22,50,3.0697333333333336
3,201,166,34,65,3.1031
4,138,104,19,47,3.1031
3,200,173,35,66,3.1364666666666667
4,138,111,18,48,3.1364666666666667
3,201,180,34,67,3.1698333333333335
4,137,117,19,49,3.1698333333333335
3,199,187,37,69,3.2032000000000003
4,135,125,21,53,3.2032000000000003
3,201,194,38,69,3.236566666666667
4,134,132,22,50,3.236566666666667
3,201,202,39,70,3.2699333333333334
4,133,139,23,52,3.2699333333333334
3,202,209,39,72,3.3033
4,132,147,24,54,3.3033
3,202,217,39,72,3.336666666666667
4,131,156,23,56,3.336666666666667
3,202,225,40,74,3.3700333333333337
4,130,164,22,57,3.3700333333333337
3,202,233,41,76,3.4034
4,124,174,44,59,3.4034
3,203,241,41,79,3.4367666666666667
4,127,183,25,60,3.4367666666666667
3,203,249,43,82,3.4701333333333335
4,126,193,26,62,3.4701333333333335
3,203,257,43,84,3.5035000000000003
4,125,203,25,64,3.5035000000000003
3,203,266,43,87,3.536866666666667
4,123,214,27,63,3.536866666666667
3,204,276,44,89,3.5702333333333334
4,122,225,28,66,3.5702333333333334
3,204,286,46,90,3.6036000000000006
4,120,236,28,67,3.6036000000000006
3,204,296,48,84,3.636966666666667
4,119,248,29,71,3.636966666666667
3,204,307,49,73,3.6703333333333337
4,117,261,32,73,3.6703333333333337
3,204,318,42,62,3.7037
4,115,274,33,76,3.7037
3,205,329,39,51,3.7370666666666668
4,113,288,34,77,3.7370666666666668
3,209,342,36,38,3.7704333333333335
4,111,303,36,77,3.7704333333333335
3,214,354,32,26,3.8038000000000003
4,109,318,34,62,3.8038000000000003
4,107,333,29,47,3.837166666666667
4,105,350,30,30,3.8705333333333334
5,245,11,11,25,3.9706333333333337
6,246,27,12,23,4.1041
7,246,20,13,34,4.170833333333333
7,246,24,14,32,4.2042
7,247,25,13,33,4.237566666666667
7,247,27,13,34,4.270933333333334
7,248,28,13,35,4.3043000000000005
7,248,31,13,34,4.337666666666667
7,248,33,14,35,4.371033333333333
7,248,34,15,36,4.4044
7,248,37,15,35,4.437766666666667
7,249,39,15,36,4.471133333333333
7,250,40,13,37,4.5045
7,250,44,14,36,4.537866666666667
7,250,45,15,37,4.571233333333334
7,251,47,14,38,4.6046000000000005
7,250,49,16,38,4.637966666666667
7,251,51,15,39,4.671333333333333
7,251,54,16,38,4.7047
7,251,56,16,39,4.738066666666667
7,252,59,16,39,4.771433333333333
7,252,61,16,39,4.8048
7,253,63,16,40,4.838166666666667
7,253,64,16,42,4.871533333333334
7,254,68,17,41,4.9049000000000005
7,254,70,17,41,4.938266666666667
7,255,72,16,42,4.971633333333334
7,255,76,16,41,5.005
7,255,78,16,42,5.038366666666667
7,255,80,17,43,5.071733333333333
7,256,83,17,44,5.1051
7,256,85,17,44,5.138466666666667
7,257,89,16,44,5.171833333333334
7,257,92,17,44,5.2052000000000005
7,258,95,17,45,5.238566666666667
7,258,98,17,46,5.271933333333334
7,259,101,17,46,5.3053
7,259,102,17,49,5.338666666666667
7,259,107,19,47,5.372033333333333
7,260,110,18,47,5.4054
7,260,113,18,48,5.438766666666667
7,260,116,20,49,5.472133333333334
7,260,120,20,49,5.5055000000000005
7,260,122,21,50,5.538866666666667
7,262,123,19,53,5.572233333333335
7,262,127,20,53,5.605600000000001
7,262,132,21,52,5.638966666666667
7,262,134,21,54,5.6723333333333334
8,171,12,12,35,5.6723333333333334
7,263,137,21,58,5.7057
7,263,140,21,58,5.739066666666667
9,171,20,13,35,5.739066666666667
7,266,145,19,57,5.772433333333334
7,266,148,21,57,5.8058000000000005
10,171,28,15,37,5.8058000000000005
7,266,152,23,57,5.839166666666667
10,170,31,16,38,5.839166666666667
7,267,156,21,57,5.872533333333334
10,169,35,16,38,5.872533333333334
7,268,160,21,58,5.9059
10,169,40,17,38,5.9059
7,268,164,22,58,5.939266666666667
10,168,43,17,40,5.939266666666667
7,268,168,23,59,5.9726333333333335
10,169,48,16,40,5.9726333333333335
7,270,172,22,59,6.006
10,168,52,17,41,6.006
11,196,28,15,21,6.006
