ID,X,Y,Width,Height,Appearance Time (ms)
0,154,56,18,47,0.3670333333333334
1,128,358,31,22,1.3013000000000001
2,149,132,18,33,0.7007000000000001
3,214,354,32,26,3.8038000000000003
4,105,350,30,30,3.8705333333333334
5,245,11,11,25,3.9706333333333337
6,246,27,12,23,4.1041
7,293,330,7,48,6.940266666666667
8,171,12,12,35,5.6723333333333334
9,171,20,13,35,5.739066666666667
10,144,359,26,21,7.240566666666667
11,196,28,15,21,6.006
12,198,158,25,60,6.940266666666667
13,201,225,32,135,7.374033333333334
14,225,365,35,15,9.142466666666667
15,206,358,23,22,7.574233333333334
16,149,357,27,23,11.845166666666668
17,177,365,20,15,16.983633333333334
18,172,1,38,47,17.817800000000002
19,173,0,37,39,17.7177
20,170,14,39,49,17.95126666666667
21,130,367,54,13,19.75306666666667
22,164,128,49,38,18.418400000000002
23,88,57,42,57,19.7197
24,189,197,21,25,18.8188
25,194,238,15,47,19.085733333333334
26,74,87,47,68,19.919900000000002
27,202,256,6,36,19.152466666666665
28,200,309,6,31,19.285933333333336
29,66,103,57,74,20.02
30,79,175,40,8,19.919900000000002
31,67,147,21,21,20.086733333333335
32,54,186,26,22,20.253566666666668
33,48,201,23,24,20.3203
34,25,272,17,27,20.553866666666668
35,0,375,43,5,20.95426666666667
36,83,254,11,27,20.520500000000002
37,2,339,17,28,20.7207
38,64,311,25,69,20.687333333333335
39,0,126,68,183,26.393033333333335
40,0,179,47,124,26.860166666666668
41,0,0,41,102,31.5315
42,45,110,25,68,26.860166666666668
43,0,95,77,207,26.893533333333334
44,0,179,46,123,26.993633333333335
45,44,91,33,87,26.96026666666667
46,0,112,70,188,27.060366666666667
47,0,179,45,119,27.160466666666668
48,43,90,33,88,27.127100000000002
49,0,90,74,205,27.5275
50,0,178,43,116,27.56086666666667
51,40,90,33,87,27.56086666666667
52,0,124,62,170,27.6276
53,0,178,42,111,27.660966666666667
54,39,90,34,87,27.660966666666667
55,0,89,73,200,27.694333333333336
56,0,178,41,117,27.794433333333334
57,38,89,34,88,27.794433333333334
58,0,89,73,205,27.8278
59,0,178,40,108,27.894533333333335
60,37,90,34,87,27.894533333333335
61,204,225,5,57,27.961266666666667
62,0,129,43,120,29.462766666666667
63,196,224,4,57,28.895533333333336
64,96,220,12,50,28.928900000000002
65,65,54,17,33,28.361666666666668
66,252,190,36,190,32.332300000000004
67,281,139,11,52,28.361666666666668
68,62,49,19,38,28.695333333333334
69,195,224,4,57,28.962266666666668
70,172,158,21,58,30.26356666666667
71,212,365,21,15,30.6306
72,93,219,11,51,29.36266666666667
73,0,180,21,59,29.96326666666667
74,91,219,13,50,29.529500000000002
75,134,0,36,29,29.96326666666667
76,189,223,5,56,29.763066666666667
77,89,219,12,50,29.796433333333336
78,283,57,17,78,29.829800000000002
79,187,222,5,57,30.03
80,76,217,12,50,31.1311
81,272,68,15,65,31.331300000000002
82,134,0,28,13,30.03
83,129,19,29,17,30.2302
84,185,222,4,57,30.26356666666667
85,282,141,11,44,30.096733333333336
86,132,8,28,16,30.130100000000002
87,180,190,29,69,31.331300000000002
88,35,0,35,82,30.6306
89,281,141,11,43,30.196833333333334
90,0,264,9,72,30.730700000000002
91,125,79,26,8,30.597233333333335
92,281,197,16,45,30.730700000000002
93,168,221,29,129,30.6306
94,281,141,9,43,30.296933333333335
95,33,0,30,74,31.16446666666667
96,279,141,12,44,30.430400000000002
97,278,140,17,51,30.497133333333334
98,210,360,20,20,32.699333333333335
99,277,141,12,42,30.56386666666667
100,273,141,13,42,30.8308
101,66,363,57,17,31.798433333333335
102,174,353,14,27,30.8308
103,186,350,28,30,31.7317
104,0,86,30,77,32.399033333333335
105,43,47,20,38,30.730700000000002
106,13,182,23,59,30.76406666666667
107,284,197,13,45,30.797433333333334
108,269,44,10,44,30.86416666666667
109,38,47,18,38,31.197833333333335
110,31,0,30,73,31.36466666666667
111,119,222,16,38,31.36466666666667
112,0,0,40,98,31.598233333333337
113,63,216,13,50,32.36566666666667
114,283,135,17,89,31.4314
115,172,220,5,56,31.498133333333335
116,277,195,23,91,31.46476666666667
117,260,50,22,81,31.898533333333337
118,276,195,15,67,31.5315
119,281,180,12,36,32.29893333333334
120,163,219,5,56,32.332300000000004
121,48,0,20,45,31.564866666666667
122,0,0,40,99,31.66496666666667
123,47,0,20,43,31.631600000000002
124,9,0,29,58,31.865166666666667
125,9,0,27,55,32.032000000000004
126,8,0,27,55,32.098733333333335
127,290,223,10,41,32.265566666666665
128,263,87,21,43,32.36566666666667
129,277,144,22,64,32.399033333333335
130,26,47,20,37,32.4324
131,42,0,20,44,32.1321
132,23,0,37,85,32.332300000000004
133,253,36,12,38,32.19883333333333
134,4,0,28,59,32.29893333333334
135,1,75,20,49,32.2322
136,252,191,16,82,32.36566666666667
137,253,36,10,38,32.29893333333334
138,270,298,18,82,32.36566666666667
139,5,0,27,55,32.46576666666667
140,31,362,19,18,35.30193333333334
141,184,361,28,19,36.80343333333333
142,93,363,22,17,36.9369
143,237,339,31,41,39.4394
144,108,306,37,74,39.4394
145,53,200,27,69,39.4394
